nwb_file_name,epoch,trial_number_by_epoch,leaf,stem,reward,poke_in_ts,reward_on_ts,reward_off_ts,poke_out_ts,contingency_count,trials_thresh_per_conting,minutes_thresh_per_conting,p_rew_leaf1,p_rew_leaf2,p_rew_leaf3,p_rew_leaf4,p_rew_leaf5,p_rew_leaf6,decay_percent,p_rew_reset_leaf1,p_rew_reset_leaf2,p_rew_reset_leaf3,p_rew_reset_leaf4,p_rew_reset_leaf5,p_rew_reset_leaf6
senor20201030_.nwb,2,123,1,A,0,1604079036.693853,,,1604079037.374853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,124,2,A,0,1604079039.712853,,,1604079040.367853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,125,1,A,0,1604079042.7748528,,,1604079043.430853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,126,2,A,0,1604079045.8928528,,,1604079046.5268528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,127,4,B,0,1604079056.2338529,,,1604079056.9578528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,128,3,B,0,1604079059.3198528,,,1604079060.226853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,129,4,B,0,1604079062.735853,,,1604079063.317853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,130,3,B,0,1604079065.742853,,,1604079066.920853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,131,4,B,0,1604079071.7378528,,,1604079072.324853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,132,3,B,1,1604079077.0148528,1604079077.0538528,1604079077.3538527,1604079086.3658528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,133,4,B,0,1604079091.124853,,,1604079092.055853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,134,3,B,0,1604079094.291853,,,1604079094.9968529,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,135,4,B,0,1604079097.636853,,,1604079098.1718528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,136,3,B,0,1604079101.5208528,,,1604079102.298853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,137,4,B,1,1604079105.624853,1604079105.6658528,1604079105.965853,1604079111.584853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,138,3,B,0,1604079117.785853,,,1604079118.647853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,139,4,B,1,1604079121.840853,1604079121.884853,1604079122.1848528,1604079127.169853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,140,3,B,1,1604079130.4058528,1604079130.4488528,1604079130.748853,1604079135.3098528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,141,4,B,1,1604079138.4718528,1604079138.5038528,1604079138.8038528,1604079143.673853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,142,3,B,0,1604079147.064853,,,1604079147.715853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,143,4,B,1,1604079150.3038528,1604079150.351853,1604079150.6518528,1604079155.002853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,144,3,B,0,1604079158.2538528,,,1604079159.051853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,145,4,B,0,1604079161.3818529,,,1604079162.0368528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,146,3,B,1,1604079165.6908529,1604079165.7438529,1604079166.0438528,1604079171.0828528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,147,4,B,0,1604079173.482853,,,1604079174.1888528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,148,3,B,0,1604079178.3568528,,,1604079179.1218529,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,149,4,B,0,1604079182.1188529,,,1604079182.7478528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,150,5,C,1,1604079186.9458528,1604079186.9878528,1604079187.2878528,1604079194.6658528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,151,6,C,1,1604079197.180853,1604079197.219853,1604079197.5198529,1604079202.785853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,152,5,C,0,1604079206.4408529,,,1604079210.4618528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,153,6,C,1,1604079212.814853,1604079212.8698528,1604079213.169853,1604079220.1458528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,154,5,C,1,1604079223.3928528,1604079223.4408529,1604079223.7408528,1604079230.722853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,155,6,C,1,1604079233.2218528,1604079233.2668529,1604079233.5668528,1604079239.5248528,2,60,20,50,20,20,50,80,50,,,,,,,
